Task	Task type	Needs review	Points	Full points deadline	Expires at	Link override	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html
Group: test_robot
Test robot assembled	mechanics,electronics		1000	2026-09-21 21:00	2026-11-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_robot_assembled
Test robot thrower design completed	mechanics	1	600	2026-09-21 21:00	2026-11-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_robot_thrower_design_completed
Test robot thrower fabricated	mechanics	1	400	2026-10-05 21:00	2026-11-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_robot_thrower_fabricated
Test robot thrower mechanics assembled and attached to robot	mechanics		400	2026-10-08 21:00	2026-11-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_robot_thrower_mechanics_assembled_and_attached_to_robot
Test robot thrower electronics attached and working	electronics		200	2026-10-08 21:00	2026-11-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_robot_thrower_electronics_attached_and_working
Group: programming
Mainboard communication	software	1	400	2026-09-24 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_mainboard_communication
Robot finds a ball	software	1	1200	2026-10-08 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_robot_finds_a_ball
Robot follows a ball	software	1	800	2026-10-22 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_robot_follows_a_ball
Robot finds basket with a ball	software	1	800	2026-11-05 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_robot_finds_basket_with_a_ball
Robot throws a ball	software	1	300	2026-11-09 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_robot_throws_a_ball
Robot can properly react to referee commands	software	1	800	2026-11-16 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_robot_can_properly_react_to_referee_commands
Code works with new mechanics	software	1	400	2026-12-17 21:00	2027-01-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_code_works_with_new_mechanics
Code works with new electronics	software	1	400	2026-12-17 21:00	2027-01-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_code_works_with_new_electronics
3 of 11 balls in 60 seconds	software	1	1000	2026-12-17 21:00	2027-01-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_3_of_11_balls_in_60_seconds
6 of 11 balls in 60 seconds	software	1	1000	2026-12-17 21:00	2027-01-16 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_6_of_11_balls_in_60_seconds
2 of 5 balls with 6 balls outside	software	1	1200	2027-01-04 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_2_of_5_balls_with_6_balls_outside
Dealing with opponent robot using 1 ball	software	1	1200	2027-01-04 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_dealing_with_opponent_robot_using_1_ball
Robot movable with remote controller	software	1	400	2027-01-04 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_robot_movable_with_remote_controller
Throwing range test	software	1	1200	2027-01-04 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_throwing_range_test
Ball holding test	software	1	800	2027-01-04 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_ball_holding_test
Software documented	software,documentation	1	400	2027-01-18 21:00	2027-01-20 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_software_documented
Group: mechanics
Omni wheels design completed	mechanics	1	600	2026-10-05 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_omni_wheels_design_completed
Motor mounts design completed	mechanics	1	200	2026-10-05 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_motor_mounts_design_completed
Ball thrower design completed	mechanics	1	200	2026-11-02 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_ball_thrower_design_completed
Adjustable ball throwing angle design completed	mechanics	1	1000	2026-11-02 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_adjustable_ball_throwing_angle_design_completed
