Task	Points	Expires at
Group: programming
Mainboard communication	800	2021-01-27 20:00
Robot finds a ball	1800	2021-01-27 20:00
Robot follows a ball	1400	2021-01-27 20:00
Robot finds basket with a ball	1600	2021-01-27 20:00
Robot throws a ball	800	2021-01-27 20:00
Robot can properly react to referee commands	1000	2021-01-27 20:00
Code works on new robot	1200	2021-01-27 20:00
3 of 11 balls in 60 seconds	2400	2021-01-27 20:00
5 of 11 balls in 60 seconds	1600	2021-01-27 20:00
2 of 5 balls with 6 balls outside	2000	2021-01-27 20:00
Dealing with opponent robot using 1 ball	2000	2021-01-27 20:00
Robot movable with remote controller	400	2021-01-27 20:00
Throwing range test	1200	2021-01-27 20:00
Ball holding test	1200	2021-01-27 20:00
Group: mechanics
Test robot thrower design completed	800	2021-01-27 20:00
Test robot thrower fabricated	400	2021-01-27 20:00
Test robot thrower mechanics assembled and attached to robot	400	2021-01-27 20:00
Omni wheels design completed	1000	2021-01-27 20:00
Motor mounts design completed	400	2021-01-27 20:00
Camera mount design completed	400	2021-01-27 20:00
Ball thrower design completed	800	2021-01-27 20:00
Adjustable ball throwing angle design completed	1200	2021-01-27 20:00
Ball holding thrower design completed	1200	2021-01-27 20:00
Robot chassis design completed	1000	2021-01-27 20:00
Whole new robot fabricated	1000	2021-01-27 20:00
Mechanics assembled	1600	2021-01-27 20:00
Group: electronics
Test robot thrower electronics attached and working	400	2021-01-27 20:00
Mainboard design completed	2400	2021-01-27 20:00
Mainboard soldered and working	600	2021-01-27 20:00
Mainboard firmware completed	1200	2021-01-27 20:00
Motor driver design completed	1200	2021-01-27 20:00
Motor drivers soldered and working	600	2021-01-27 20:00
Mainboard documented	600	2021-01-27 20:00
Motor driver documented	600	2021-01-27 20:00
Power path controller soldered and working	200	2021-01-27 20:00
Throwing angle adjustable through mainboard	1200	2021-01-27 20:00
Ball holder controllable through mainboard	1600	2021-01-27 20:00
Thrower voltage regulator attached and working	400	2021-01-27 20:00
Electronics attached to the robot and working	1600	2021-01-27 20:00
Group: other
Test robot assembled	1200	2021-01-27 20:00
Team wiki page created	200	2021-01-27 20:00
Progress blog and presentation	200	2020-09-14 20:00
Progress blog and presentation	200	2020-09-28 20:00
Progress blog and presentation	200	2020-10-12 20:00
Progress blog and presentation	200	2020-10-26 20:00
Progress blog and presentation	200	2020-11-09 20:00
Progress blog and presentation	200	2020-11-23 20:00
Progress blog and presentation	200	2020-12-07 20:00
1st test competition	400	2020-12-17 20:00
1st test competition winner	400	2020-12-17 20:00
2nd test competition	800	2021-01-07 20:00
2nd test competition winner	400	2021-01-07 20:00
Progress blog and presentation	200	2020-01-11 20:00
3rd test competition	1200	2021-01-21 20:00
3rd test competition winner	400	2021-01-21 20:00
Delta X	4000	2021-01-27 20:00
Delta X best course robot	1000	2021-01-27 20:00
Delta X 2nd best course robot	400	2021-01-27 20:00
Delta X 3rd best course robot	200	2021-01-27 20:00
Team wiki page completed and final presentation	0	2021-01-28 20:00
Parts returned	0	2021-01-28 20:00
