Task	Points	Full points deadline	Expires at	Link override	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html
Group: test_robot
Test robot assembled	1200	2024-09-23 20:00	2024-11-18 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_robot_assembled
Test robot thrower design completed	800	2024-09-23 20:00	2024-11-18 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_robot_thrower_design_completed
Test robot thrower fabricated	400	2024-10-07 20:00	2024-11-18 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_robot_thrower_fabricated
Test robot thrower mechanics assembled and attached to robot	400	2024-10-10 20:00	2024-11-18 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_robot_thrower_mechanics_assembled_and_attached_to_robot
Test robot thrower electronics attached and working	400	2024-10-10 20:00	2024-11-18 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_robot_thrower_electronics_attached_and_working
Group: programming
Mainboard communication	1000	2024-09-23 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_mainboard_communication
Robot finds a ball	2000	2024-10-10 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_robot_finds_a_ball
Robot follows a ball	1600	2024-10-24 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_robot_follows_a_ball
Robot finds basket with a ball	1600	2024-10-31 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_robot_finds_basket_with_a_ball
Robot throws a ball	800	2024-11-04 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_robot_throws_a_ball
Robot can properly react to referee commands	1000	2024-11-18 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_robot_can_properly_react_to_referee_commands
Code works with new mechanics	600	2024-12-02 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_code_works_with_new_mechanics
Code works with new electronics	600	2024-12-02 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_code_works_with_new_electronics
